Title,Link,Price,Availability,Number of books available,Description,UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Number of reviews,Genre
A Light in the Attic,a-light-in-the-attic_1000/index.html,51.77,In stock (22 available),22,"""A Light in the Attic"" di Shel Silverstein è una raccolta di poesie e disegni classica, divertente e creativa, amata da lettori di tutte le età.",a897fe39b1053632,Books,51.77,51.77,0.00,0,Poetry
Tipping the Velvet,tipping-the-velvet_999/index.html,53.74,In stock (20 available),20,Un racconto erotico e coinvolgente su Nan King e Kitty Butler. Nan diventa assistente di Kitty e insieme intraprendono una brillante carriera nel music-hall e un'intensa relazione amorosa.,90fa61229261140a,Books,53.74,53.74,0.00,0,Historical Fiction
Soumission,soumission_998/index.html,50.10,In stock (20 available),20,"Un uomo si immerge nella carriera accademica in una Francia simile alla nostra, ma presto si trova coinvolto nell'implosione politica del paese. Una fable visionaria e ambigua sulla civilizzazione.",6957f44c3847a760,Books,50.10,50.10,0.00,0,Fiction
Sharp Objects,sharp-objects_997/index.html,47.82,In stock (20 available),20,"Il romanzo ""Sharp Objects"" racconta la storia di Camille Preaker, una reporter con un oscuro passato che torna nella sua città natale per indagare sui brutali omicidi di due giovani ragazze. Tramite tatuaggi, viene rivelato il peso del suo passato su di lei. Emozionante e coinvolgente.",e00eb4fd7b871a48,Books,47.82,47.82,0.00,0,Mystery
Sapiens: A Brief History of Humankind,sapiens-a-brief-history-of-humankind_996/index.html,54.23,In stock (20 available),20,"Un libro bestseller che esplora la storia umana e la biologia, da sei specie umane a oggi. Scopri come ciò ci ha definiti e cosa potremmo diventare in futuro.",4165285e1663650f,Books,54.23,54.23,0.00,0,History
The Requiem Red,the-requiem-red_995/index.html,22.65,In stock (19 available),19,"La paziente ventinove di un manicomio con un oscuro segreto. Mason la vede come una donna, non come una pazza, ma il mostro ha altri piani.
Somewhere in an asylum, patient 29 sees hope despite danger.",f77dbf2323deb740,Books,22.65,22.65,0.00,0,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,In stock (19 available),19,"Don Raskin, con la sua esperienza nella selezione di candidati, nel suo libro ""The Dirty Little Secrets of Getting Your Dream Job"" offre consigli, storie e strumenti utili per trovare il lavoro ideale. Sintesi: Libro di consigli per trovare lavoro.",2597b5a345f45e1b,Books,33.34,33.34,0.00,0,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,In stock (19 available),19,"""The Coming Woman"" di Karen Hicks narra la vita di Victoria Woodhull, rivoluzionaria che sfidò l'establishment politico maschile nel 1872, anticipando tematiche attuali come parità di genere e diritti umani.",e72a5dfc7e9267b2,Books,17.93,17.93,0.00,0,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.60,In stock (19 available),19,"L'emozionante storia della squadra di canottaggio statunitense alle Olimpiadi di Berlino 1936 e la loro epica ricerca della medaglia d'oro, raccontata da Daniel James Brown. Ispirato dai confronti personali e dal sogno condiviso.",e10e1e165dc8be4a,Books,22.60,22.60,0.00,0,Default
The Black Maria,the-black-maria_991/index.html,52.15,In stock (19 available),19,"Aracelis Girmay è elogiata per la sua capacità di raccontare storie con inventiva, tenerezza e vitalità intellettuale. La sua poesia esplora la perdita, le connessioni e le storie della diaspora africana.",1dfe412b8ac00530,Books,52.15,52.15,0.00,0,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock (19 available),19,"Dopo un'aggressione, Miss Annette Chetwynd cerca il suo anonimo salvatore, mentre l'aspirante sacerdote Peter Adsley desidera una moglie devota. Sfide, dubbi e destini intrecciati li mettono alla prova.",0312262ecafa5a40,Books,13.99,13.99,0.00,0,Default
Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,20.66,In stock (19 available),19,Un'importante e completa raccolta dei Sonetti di William Shakespeare che completa le opere teatrali famose. Imperdibile per chi desidera completare la sua collezione delle opere del poeta.,30a7f60cd76ca58c,Books,20.66,20.66,0.00,0,Poetry
Set Me Free,set-me-free_988/index.html,17.46,In stock (19 available),19,"Aaron Ledbetter, oppresso dalle aspettative familiari, trova libertà con Jonas ""Lucky"", un artista del carnevale. Deve decidere tra il futuro prefissato e l'amore vero. Pur cercando libertà, esita. Respinge o accetta il destino?",ce6396b0f23f6ecc,Books,17.46,17.46,0.00,0,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock (19 available),19,La vita di Scott Pilgrim è fantastica finché una ragazza di nome Ramona Flowers inizia a far parte dei suoi sogni e della sua realtà. Combatterà i suoi sette ex in questo fumetto. (Parole: 27),3b1c02bac2a429e6,Books,52.29,52.29,0.00,0,Sequential Art
Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,35.02,In stock (19 available),19,"Il potere crudo del punk ha rivitalizzato il rock, ma diventò una parodia di sé stesso. ""RIP IT UP AND START AGAIN"" celebra la nascita del post-punk e band come PiL, Joy Division, Talking Heads, The Fall e The Human League che completarono la rivoluzione musicale del punk, diventando modernisti ferventi. (parole: 26)",a34ba96d4081e6a4,Books,35.02,35.02,0.00,0,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock (19 available),19,"La storia mai raccontata della ribellione musicale dello scenario degli anni Ottanta sotto Reagan. Un'epoca in cui band, etichette e fanzine infusero energia al rock americano con il credo del punk rock.",deda3e61b9514b83,Books,57.25,57.25,0.00,0,Music
Olio,olio_984/index.html,23.88,In stock (19 available),19,"""Olio"" di Tyehimba Jess mescola fatti e finzione, esaminando la vita di artisti afroamericani prima e dopo la guerra civile, fino alla prima guerra mondiale. La poesia racconta di resistenza e resilienza.",feb7cc7701ecf901,Books,23.88,23.88,0.00,0,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock (19 available),19,"Lo scrittore e ingegnere premiato Andrew Barger ha ricercato testi dimenticati del 19° secolo, portando alla luce storie di fantascienza rivoluzionarie in lingua inglese, incluse possibili prime opere di autrici. Accedi oggi ai racconti fantastici!",e30f54cea9b38190,Books,37.59,37.59,0.00,0,Science Fiction
Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,51.33,In stock (19 available),19,"Il libertarismo non è centrato sul vincere le elezioni, ma su una filosofia politica che promuove la libertà individuale e una riduzione radicale del potere governativo. ""Libertarianism For Beginners"" ne spiega storia e principi in modo chiaro e obiettivo.",a18a4f574854aced,Books,51.33,51.33,0.00,0,Politics
It's Only the Himalayas,its-only-the-himalayas_981/index.html,45.17,In stock (19 available),19,"L'autrice racconta un anno di viaggio in Asia e Africa, tra avventure pericolose e scoperte personali. Un viaggio che ha trasformato la sua visione del mondo e di se stessa.",a22124811bfa8350,Books,45.17,45.17,0.00,0,Travel
